"id","squareMeters","rooms1","rooms2","rooms3","centreDistance","schoolDistance","clinicDistance","postOfficeDistance","kindergartenDistance","restaurantDistance","collegeDistance","pharmacyDistance","ownership","buildingMaterial","condition","hasParkingSpace","hasBalcony","hasElevator","hasSecurity","hasStorageRoom","price","first_floor","top_floor","age","block","apartmentB","tenement","stolica"
"cc17b6aebcfe795b5dba8a76586d0e48",80,0,1,0,930,58,592,354,181,85,263,303,"1","1","0","0","1","1","0","1",1350000,0,0,55,0,0,1,1
"fd71baae3d09c2d8216c529e9b1c6da0",84,0,1,0,5790,306,807,123,135,11,306,74,"1","1","1","0","1","1","0","1",1220000,0,0,14,0,1,0,1
"ee63827789be01a68c1c2eb70c08f326",29.39,1,0,0,4410,345,1396,1409,1178,831,1119,1022,"1","1","1","0","1","1","0","0",570000,1,0,1,0,1,0,1
"01eabe47d025b0064779d7ca04459498",45.19,1,0,0,4920,218,126,500,201,85,939,187,"1","1","1","0","1","1","0","0",1035000,0,0,9,0,1,0,1
"58f4ca981623c689f5e7799dbf44ffc6",43.21,1,0,0,1950,109,384,254,203,165,240,112,"1","0","0","0","1","1","0","1",799000,0,0,60,1,0,0,1
"2a9ebbbd7fff16feceff273b55f12804",103,0,0,1,2170,127,292,554,126,264,526,16,"1","1","0","0","1","1","0","1",2198000,0,0,47,1,0,0,1
"6bd205f267083c4a696d02d7ab6e0a33",27.4,1,0,0,680,187,134,98,277,40,910,116,"0","0","1","0","0","1","0","0",699999,1,0,60,1,0,0,1
"7c1787bc6a38ca38043ecc24aba178b3",34.56,1,0,0,2420,283,268,125,264,53,1747,40,"1","1","1","1","0","1","0","0",770000,0,0,4,0,1,0,1
"40bb2665c1437548957b20bbe7f0c73e",57.26,1,0,0,12130,125,170,265,171,113,764,233,"0","1","0","1","1","0","1","1",800000,0,1,30,0,1,0,1
"a36e4429c005c461210397dc8b140b42",61.53,0,1,0,4980,273,181,559,249,53,1000,242,"1","1","1","1","1","1","0","0",1285000,0,0,9,0,1,0,1
"de01849784feb9f3873366136be552e2",85.38,0,1,0,9670,781,1738,558,416,132,2101,422,"1","1","1","1","1","1","0","0",1690000,1,0,16,0,1,0,1
"3948ba09b588a84f73a73f3a53f4f797",56,0,1,0,10000,647,1844,855,102,144,2037,226,"1","1","1","1","0","1","0","0",1103000,0,0,21,0,1,0,1
"dc742c52c57313f745d5eb540e69b61a",25,1,0,0,7470,285,650,442,247,121,1068,92,"1","1","1","0","1","1","0","0",499000,0,0,48,1,0,0,1
"1720274928268c91fb8fd7d8c2df01a5",62.2,0,1,0,2410,212,259,350,230,218,1270,270,"1","1","1","0","1","0","0","1",960000,0,0,87,0,0,1,1
"072f27f3abd943a711ad543a4b565c80",75,0,1,0,5280,320,461,87,209,172,1510,238,"1","1","1","1","0","1","0","0",1300000,0,0,24,0,1,0,1
"a04f411e03672caf9c54831bd935e149",96.4,0,1,0,4730,531,610,250,166,134,1037,232,"1","1","1","1","0","1","0","0",1730000,1,0,19,0,1,0,1
"164e5f34b61759bf34ec743ec4a87608",62.44,0,1,0,9910,533,430,517,218,67,1127,143,"1","1","1","1","1","1","0","0",850000,0,0,1,0,1,0,1
"e790f412c4dfb848980b163ac14c3cd2",76.74,0,1,0,7330,427,234,307,70,391,3291,402,"1","1","1","1","1","1","0","1",1400000,0,0,9,1,0,0,1
"39468e3a8fd86f6a9f511ae67eb79255",63.58,0,1,0,4680,45,68,504,217,661,26,98,"1","1","0","0","1","0","0","0",860000,0,0,89,0,0,1,1
"ee5f4bfe504d9cbe19b17e091a469a86",39.64,1,0,0,6840,670,2860,447,280,160,4001,47,"1","1","1","1","1","1","0","0",790000,0,0,4,0,1,0,1
